"","HDI","life_exp","edu_index","GNI","AdjustedHDI","ineq_life","ineq_edu","ineq_income"
"Norway",0.944,81.6,220.5,"64,992","0.893","3.4","2.3","10.2"
"Australia",0.935,82.4,262.6,"42,261","0.858","4.2","1.9","17.7"
"Switzerland",0.93,83,202.24,"56,431","0.861","3.9","5.7","12.3"
"Denmark",0.923,80.2,237.49,"44,025","0.856","4.0","3.0","14.4"
"Netherlands",0.922,81.6,213.01,"45,435","0.861","3.9","4.1","11.6"
"Germany",0.916,80.9,216.15,"43,919","0.853","3.7","2.4","14.1"
"Ireland",0.916,80.9,226.92,"39,568","0.836","3.7","5.4","16.3"
"United States",0.915,79.1,212.85,"52,947","0.760","6.2","5.3","35.6"
"Canada",0.913,82,206.7,"42,155","0.832","4.6","3.9","17.4"
"New Zealand",0.913,81.8,240,"32,689","..","4.8","..",".."
"Singapore",0.912,83,163.24,"76,628","..","2.8","..",".."
"Hong Kong, China (SAR)",0.91,84,174.72,"53,959","..","2.8","..",".."
"Liechtenstein",0.908,80,177,"79,851","..","..","..",".."
"Sweden",0.907,82.2,191.18,"45,636","0.846","3.1","3.5","13.1"
"United Kingdom",0.907,80.7,212.22,"39,267","0.829","4.5","2.8","17.8"
"Iceland",0.899,82.6,201.4,"35,182","0.846","2.8","2.4","12.2"
"Korea (Republic of)",0.898,81.9,201.11,"33,890","0.751","3.9","25.5","18.4"
"Israel",0.894,82.4,200,"30,676","0.775","3.8","9.9","25.0"
"Luxembourg",0.892,81.7,162.63,"58,711","0.822","3.3","6.0","13.9"
"Japan",0.891,83.5,175.95,"36,927","0.780","3.2","19.8","13.5"
"Belgium",0.89,80.8,184.19,"41,187","0.820","3.9","8.1","11.6"
"France",0.888,82.2,177.6,"38,056","0.811","4.0","8.0","13.9"
"Austria",0.885,81.4,169.56,"43,869","0.816","3.7","3.5","15.5"
"Finland",0.883,80.8,176.13,"38,695","0.834","3.5","2.1","10.8"
"Slovenia",0.88,80.4,199.92,"27,852","0.829","3.8","2.6","11.0"
"Spain",0.876,82.6,166.08,"32,045","0.775","3.9","5.2","23.9"
"Italy",0.873,83.1,161.6,"33,030","0.773","3.4","10.6","19.8"
"Czech Republic",0.87,78.6,201.72,"26,660","0.823","3.7","1.4","11.0"
"Greece",0.865,80.9,181.28,"24,524","0.758","4.0","11.6","20.6"
"Estonia",0.861,76.8,206.25,"25,214","0.782","5.6","2.4","18.6"
"Brunei Darussalam",0.856,78.8,127.6,"72,570","..","4.4","..",".."
"Cyprus",0.85,80.2,162.4,"28,633","0.758","3.7","13.1","15.0"
"Qatar",0.85,78.2,125.58,"123,124","..","6.0","..",".."
"Andorra",0.845,81.3,129.6,"43,978","..","..","..",".."
"Slovakia",0.844,76.3,184.22,"25,845","0.791","5.6","1.5","11.3"
"Poland",0.843,77.4,182.9,"23,177","0.760","5.7","5.6","17.5"
"Lithuania",0.839,73.3,203.36,"24,500","0.754","6.6","5.9","17.5"
"Malta",0.839,80.6,148.32,"27,930","0.767","4.8","7.3","13.3"
"Saudi Arabia",0.837,74.3,141.81,"52,821","..","8.7","..",".."
"Argentina",0.836,76.3,175.42,"22,050","0.711","9.3","8.1","26.3"
"United Arab Emirates",0.835,77,126.35,"60,868","..","5.5","..",".."
"Chile",0.832,81.7,148.96,"21,290","0.672","5.9","12.6","36.0"
"Portugal",0.83,80.9,133.66,"25,757","0.744","3.9","5.9","20.3"
"Hungary",0.828,75.2,178.64,"22,916","0.769","5.4","3.2","12.6"
"Bahrain",0.824,76.6,135.36,"38,599","..","6.3","..",".."
"Latvia",0.819,74.2,174.8,"22,281","0.730","7.6","3.5","20.5"
"Croatia",0.818,77.3,162.8,"19,409","0.743","5.2","4.3","17.2"
"Kuwait",0.816,74.4,105.84,"83,961","..","7.2","..",".."
"Montenegro",0.802,76.2,170.24,"14,558","0.728","7.6","7.4","12.6"
"Belarus",0.798,71.3,188.4,"16,676","0.741","6.8","3.7","10.8"
"Russian Federation",0.798,70.1,176.4,"22,352","0.714","9.8","2.3","18.7"
"Oman",0.793,76.8,108.8,"34,858","..","7.0","..",".."
"Romania",0.793,74.7,153.36,"18,108","0.711","8.8","4.7","17.1"
"Uruguay",0.793,77.2,131.75,"19,283","0.678","9.2","9.2","24.2"
"Bahamas",0.79,75.4,137.34,"21,336","..","9.4","..",".."
"Kazakhstan",0.788,69.4,171,"20,867","0.694","16.7","5.9","12.7"
"Barbados",0.785,75.6,161.7,"12,488","..","8.1","5.5",".."
"Antigua and Barbuda",0.783,76.1,128.8,"20,070","..","8.0","..",".."
"Bulgaria",0.782,74.2,152.64,"15,596","0.699","7.9","5.5","17.8"
"Palau",0.78,72.7,168.51,"13,496","..","..","12.0","23.0"
"Panama",0.78,77.6,123.69,"18,192","0.604","12.1","16.6","36.5"
"Malaysia",0.779,74.7,127,"22,762","..","4.9","..",".."
"Mauritius",0.777,74.4,132.6,"17,470","0.666","9.2","13.2","19.8"
"Seychelles",0.772,73.1,125.96,"23,300","..","7.9","..",".."
"Trinidad and Tobago",0.772,70.4,134.07,"26,090","0.654","16.4","6.6","21.9"
"Serbia",0.771,74.9,151.2,"12,190","0.693","8.5","8.1","13.5"
"Cuba",0.769,79.4,158.7,"7,301","..","5.1","11.3",".."
"Lebanon",0.769,79.3,109.02,"16,509","0.609","6.7","24.1","30.0"
